filename,triplet1_eV,triplet2_eV,singlet1_eV,2T1_minus_S1,2T1_minus_T2,HOMO,LUMO
M1709e.log,0.6551,1.8227,2.102,-0.7918,-0.5125,-0.22682,
M1706e.log,3.6033,3.8274,4.2807,2.9259,3.3792,-0.26791,
M1698e.log,1.7618,2.3026,3.2362,0.2874,1.221,-0.23813,
M1685e.log,0.9021,2.2097,2.52,-0.7158,-0.4055,-0.25726,
M1672e.log,1.7191,2.2715,2.2671,1.1711,1.1667,-0.22717,
M1671e.log,3.7962,5.5719,4.4037,3.1887,2.0205,-0.30356,
M1668e.log,3.5781,4.3403,4.9259,2.2303,2.8159,-0.26002,
M1665e.log,2.889,3.5667,4.0025,1.7755,2.2113,-0.26214,
M1660e.log,0.6056,1.7645,2.119,-0.9078,-0.5533,-0.24894,
M1659e.log,0.8101,2.4286,2.2568,-0.6366,-0.8084,-0.21491,
M1644e.log,2.2648,3.099,3.5716,0.958,1.4306,-0.23388,
M1643e.log,1.3375,1.7615,2.6976,-0.0226,0.9135,-0.20068,
M1636e.log,5.7382,5.7824,6.4208,5.0556,5.694,-0.30282,
M1611e.log,2.4352,3.3928,3.7075,1.1629,1.4776,-0.23375,
M1607e.log,0.9403,2.0495,2.6977,-0.8171,-0.1689,-0.24164,
M1606e.log,4.0043,5.7009,6.0635,1.9451,2.3077,-0.2948,
M1597e.log,0.6272,1.7426,1.8577,-0.6033,-0.4882,-0.26213,
M1596e.log,2.9570,3.3285,3.9948,1.9192,2.5855,-0.19470,
M1583e.log,2.8792,3.5566,3.9438,1.8146,2.2018,-0.25265,
M1582e.log,0.6247,1.8257,2.1379,-0.8885,-0.5763,-0.26554,
M1554e.log,3.6950,4.5794,5.2544,2.1356,2.8106,-0.25515,
M1546e.log,2.3992,4.2497,4.5256,0.2728,0.5487,-0.26223,
M1543e.log,1.9961,3.9804,4.0465,-0.0543,0.0118,-0.22161,
M1524e.log,4.0212,5.7447,6.4884,1.554,2.2977,-0.29798,
M1513e.log,0.3263,0.7131,0.6974,-0.0448,-0.0605,-0.21379,
M1493e.log,2.9937,3.3087,4.0807,1.9067,2.6787,-0.22809,
